rounded_timestamp,timestamp_uri,workhours,target_values_211,target_values_154,outside_temp_Eindhoven,1_0_target
2022-07-19 14:00:00,https://interconnectproject.eu/example/2022-07-19_140000,1,26.4,24.6,37.8,1
2022-07-19 15:00:00,https://interconnectproject.eu/example/2022-07-19_150000,1,26.4,24.6,37.8,1
2022-07-19 13:00:00,https://interconnectproject.eu/example/2022-07-19_130000,1,26.45,24.5,37.6,1
2022-07-19 16:00:00,https://interconnectproject.eu/example/2022-07-19_160000,1,26.3,24.6,37.3,1
2022-07-19 12:00:00,https://interconnectproject.eu/example/2022-07-19_120000,1,26.25,24.35,37.1,1
2022-07-19 11:00:00,https://interconnectproject.eu/example/2022-07-19_110000,1,25.8,24.25,36.4,1
2022-07-19 17:00:00,https://interconnectproject.eu/example/2022-07-19_170000,0,26.3,24.95,36.4,1
2022-07-19 10:00:00,https://interconnectproject.eu/example/2022-07-19_100000,1,25.6,24.15,35.5,1
2022-07-19 18:00:00,https://interconnectproject.eu/example/2022-07-19_180000,0,26.2,25.05,34.3,1
2022-07-18 14:00:00,https://interconnectproject.eu/example/2022-07-18_140000,1,25.05,23.7,33.4,1
2022-07-18 16:00:00,https://interconnectproject.eu/example/2022-07-18_160000,1,25.1,23.75,33.2,1
2022-07-19 09:00:00,https://interconnectproject.eu/example/2022-07-19_090000,1,25.6,24.1,33.2,1
2022-08-25 13:00:00,https://interconnectproject.eu/example/2022-08-25_130000,1,25.2,23.9,33.2,1
2022-07-18 15:00:00,https://interconnectproject.eu/example/2022-07-18_150000,1,25.1,23.65,33.1,1
2022-08-25 14:00:00,https://interconnectproject.eu/example/2022-08-25_140000,1,25.25,24.0,32.9,1
2022-08-25 12:00:00,https://interconnectproject.eu/example/2022-08-25_120000,1,25.2,23.8,32.7,1
2022-07-18 17:00:00,https://interconnectproject.eu/example/2022-07-18_170000,0,25.1,24.05,32.7,1
2022-07-18 13:00:00,https://interconnectproject.eu/example/2022-07-18_130000,1,24.85,23.6,32.6,1
2022-08-14 12:00:00,https://interconnectproject.eu/example/2022-08-14_120000,0,25.35,24.5,32.5,1
2022-08-25 11:00:00,https://interconnectproject.eu/example/2022-08-25_110000,1,25.05,23.8,32.4,1
2022-08-14 13:00:00,https://interconnectproject.eu/example/2022-08-14_130000,0,25.55,24.6,32.2,1
2022-08-12 14:00:00,https://interconnectproject.eu/example/2022-08-12_140000,1,23.8,23.6,32.0,1
2022-08-12 15:00:00,https://interconnectproject.eu/example/2022-08-12_150000,1,23.8,23.9,31.9,1
2022-08-24 14:00:00,https://interconnectproject.eu/example/2022-08-24_140000,1,24.3,23.55,31.9,1
2022-07-19 19:00:00,https://interconnectproject.eu/example/2022-07-19_190000,0,26.05,25.05,31.9,1
2022-08-12 12:00:00,https://interconnectproject.eu/example/2022-08-12_120000,1,23.7,23.45,31.8,1
2022-08-12 13:00:00,https://interconnectproject.eu/example/2022-08-12_130000,1,23.8,23.5,31.8,1
2022-07-18 12:00:00,https://interconnectproject.eu/example/2022-07-18_120000,1,24.8,23.6,31.7,1
2022-08-25 10:00:00,https://interconnectproject.eu/example/2022-08-25_100000,1,24.9,23.8,31.7,1
2022-08-25 15:00:00,https://interconnectproject.eu/example/2022-08-25_150000,1,25.05,23.95,31.7,1
2022-08-14 11:00:00,https://interconnectproject.eu/example/2022-08-14_110000,0,25.2,24.4,31.7,1
2022-06-18 13:00:00,https://interconnectproject.eu/example/2022-06-18_130000,0,24.65,23.3,31.7,1
2022-07-19 08:00:00,https://interconnectproject.eu/example/2022-07-19_080000,0,25.7,24.1,31.6,1
2022-08-13 13:00:00,https://interconnectproject.eu/example/2022-08-13_130000,0,24.0,23.0,31.6,1
2022-08-13 14:00:00,https://interconnectproject.eu/example/2022-08-13_140000,0,24.0,23.0,31.6,1
2022-08-03 14:00:00,https://interconnectproject.eu/example/2022-08-03_140000,1,24.1,23.3,31.6,1
2022-08-14 14:00:00,https://interconnectproject.eu/example/2022-08-14_140000,0,25.65,24.65,31.5,1
2022-08-03 15:00:00,https://interconnectproject.eu/example/2022-08-03_150000,1,24.2,23.4,31.5,1
2022-08-13 12:00:00,https://interconnectproject.eu/example/2022-08-13_120000,0,24.0,23.05,31.5,1
2022-08-13 15:00:00,https://interconnectproject.eu/example/2022-08-13_150000,0,24.0,23.0,31.4,1
2022-06-18 12:00:00,https://interconnectproject.eu/example/2022-06-18_120000,0,24.55,23.25,31.4,1
2022-06-18 14:00:00,https://interconnectproject.eu/example/2022-06-18_140000,0,24.8,23.35,31.4,1
2022-08-11 14:00:00,https://interconnectproject.eu/example/2022-08-11_140000,1,23.5,23.4,31.4,1
2022-08-25 16:00:00,https://interconnectproject.eu/example/2022-08-25_160000,1,25.0,23.9,31.3,1
2022-08-14 15:00:00,https://interconnectproject.eu/example/2022-08-14_150000,0,25.7,24.7,31.3,1
2022-08-12 16:00:00,https://interconnectproject.eu/example/2022-08-12_160000,1,23.85,23.5,31.3,1
2022-08-03 13:00:00,https://interconnectproject.eu/example/2022-08-03_130000,1,24.1,23.3,31.3,1
2022-08-03 17:00:00,https://interconnectproject.eu/example/2022-08-03_170000,0,24.35,23.700000000000000,31.2,1
2022-07-18 11:00:00,https://interconnectproject.eu/example/2022-07-18_110000,1,24.7,23.55,31.2,1
2022-08-25 09:00:00,https://interconnectproject.eu/example/2022-08-25_090000,1,25.1,23.75,31.2,1
2022-08-24 15:00:00,https://interconnectproject.eu/example/2022-08-24_150000,1,24.2,23.5,31.2,1
2022-08-11 15:00:00,https://interconnectproject.eu/example/2022-08-11_150000,1,23.55,23.4,31.1,1
2022-08-14 16:00:00,https://interconnectproject.eu/example/2022-08-14_160000,0,25.7,24.75,31.1,1
